PC,explained_var_pct,cumulative_pct
1,44.158658391785536,44.158658391785536
2,28.804879818588837,72.96353821037438
3,17.892065398583227,90.85560360895761
4,5.105790779407373,95.96139438836498
5,2.469625253204032,98.43101964156901
6,1.4404780290853216,99.87149767065434
7,0.04511396786965722,99.91661163852399
8,0.04260249201759825,99.95921413054158
9,0.03582332676957325,99.99503745731116
10,0.0034521589418044893,99.99848961625297
11,0.000793949498084003,99.99928356575104
12,0.000595947534440235,99.99987951328548
13,6.665995916985345e-05,99.99994617324465
14,2.4079776136597263e-05,99.99997025302079
15,1.6725511509471274e-05,99.9999869785323
16,8.206567646275627e-06,99.99999518509995
17,2.6958817065467265e-06,99.99999788098167
18,1.777244224058022e-06,99.99999965822589
19,1.4882707829183427e-07,99.99999980705296
20,1.1049871617023254e-07,99.99999991755169
21,6.23390723046561e-08,99.99999997989076
22,5.1020483606227035e-09,99.9999999849928
23,3.3733975248385463e-09,99.99999998836621
24,2.8897155996636312e-09,99.99999999125592
25,2.226326159752369e-10,99.99999999147855
26,1.6086392562086058e-10,99.99999999163941
27,6.874905354006051e-11,99.99999999170815
28,2.572918306202613e-11,99.99999999173387
29,2.1667727493296148e-11,99.99999999175554
30,2.149323071242407e-11,99.99999999177705
31,2.1343822836240774e-11,99.99999999179838
32,2.12792465814371e-11,99.99999999181966
33,2.1196913665054912e-11,99.99999999184087
34,2.1067905690322194e-11,99.99999999186193
35,2.0839023958048557e-11,99.99999999188277
36,2.0683987394957663e-11,99.99999999190345
37,2.0558987568688505e-11,99.99999999192401
38,2.0449806704598442e-11,99.99999999194446
39,2.0399645239832408e-11,99.99999999196486
40,2.034922593222774e-11,99.9999999919852
41,2.0304828154958835e-11,99.99999999200551
42,2.0129727805558367e-11,99.99999999202565
43,2.0004757150243514e-11,99.99999999204564
44,1.9981525673651264e-11,99.99999999206564
45,1.9870386900074196e-11,99.9999999920855
46,1.9848491097358653e-11,99.99999999210536
47,1.9758954461030987e-11,99.99999999212513
48,1.956384808387941e-11,99.99999999214468
49,1.9472633613890363e-11,99.99999999216416
50,1.92642204873703e-11,99.99999999218342
51,1.9193867336673004e-11,99.99999999220262
52,1.9104294219793196e-11,99.99999999222172
53,1.90472904848028e-11,99.99999999224077
54,1.89685105822274e-11,99.99999999225975
55,1.88467973057435e-11,99.9999999922786
56,1.8760278364413738e-11,99.99999999229736
57,1.8614406125302923e-11,99.99999999231598
58,1.854354119654034e-11,99.99999999233452
59,1.8473364816840314e-11,99.999999992353
60,1.8389381469738372e-11,99.99999999237139
61,1.8349845832819258e-11,99.99999999238973
62,1.8276908285877884e-11,99.99999999240801
63,1.814875098861519e-11,99.99999999242615
64,1.8055191739872626e-11,99.99999999244422
65,1.802440142939888e-11,99.99999999246224
66,1.7970394172310557e-11,99.9999999924802
67,1.7733230171290697e-11,99.99999999249793
68,1.7729236587966947e-11,99.99999999251567
69,1.7640639937188116e-11,99.9999999925333
70,1.7570683704533813e-11,99.99999999255088
71,1.7439891223064886e-11,99.99999999256832
72,1.7385248735166923e-11,99.99999999258571
73,1.7232144109435195e-11,99.99999999260294
74,1.7167820891953613e-11,99.9999999926201
75,1.713144523045323e-11,99.99999999263723
76,1.701005192944441e-11,99.99999999265424
77,1.6976827730407896e-11,99.99999999267122
78,1.691704888612523e-11,99.99999999268813
79,1.6816740151531095e-11,99.99999999270496
80,1.6747201359695114e-11,99.9999999927217
