param,bin_center,mean_recon_mse,mean_mape_pct,mean_passiv_viol
Rbv,2222.5519847075957,0.00023456624,3.535970176553468,0.0
Rbv,4630.805404922702,0.00037536098,2.100830997613405,1.3125211e-06
Rbv,6937.132952036602,0.00044787803,1.790674234907589,0.0
Rbv,9258.149454242039,0.0005624022,2.333877212813998,0.0
Rbv,11641.936334168158,0.00044853537,3.067614846542199,0.0
Rbv,14045.910610366274,0.00044048953,2.7033357009085104,1.9787926e-06
Rbv,16481.759814237783,0.00045369889,2.263832048456691,3.5074593e-06
Rbv,18842.681393082727,0.0004045496,4.591506888053671,4.2965465e-07
Cbv,59.465287053051256,0.00023634454,1.7779277327916443,2.4384608e-06
Cbv,78.5361397921483,0.0004313972,0.9146620250302276,2.448075e-06
Cbv,98.12800177157797,0.0006746341,0.7951289959579173,0.0
Cbv,117.45175412839015,0.0005599186,0.706822931318905,0.0
Cbv,136.8438732130096,0.0005566084,0.7065918864326179,0.0
Cbv,155.63385836427506,0.0004503277,1.0350710676867079,0.0
Cbv,172.9832322249485,0.00024572178,0.8285184680391736,0.0
Cbv,190.70025249785908,0.00021144652,2.229280903198249,2.3470047e-06
Rdv,3473.4213922833223,0.00045348395,6.829264831226615,4.794418e-06
Rdv,6330.569546712843,0.00045113883,2.1570382361536735,0.0
Rdv,9070.651879153353,0.00036803604,1.9334380040205723,0.0
Rdv,11792.621486045886,0.00040639102,1.5553871457098858,0.0
Rdv,14784.267520538393,0.00042815277,2.148477913925752,0.0
Rdv,17807.11671013107,0.00040192486,2.1710980736640733,0.0
Rdv,20631.60999388516,0.00040780136,1.7495400098994973,1.3125211e-06
Rdv,23508.258767639665,0.0004499115,3.6737802681048555,1.1233382e-06
Ldv,1.5831380298740734,0.0004186268,177.2390674921341,6.8958144e-07
Ldv,2.705181838612341,0.00044318923,63.859645330214114,3.6420565e-07
Ldv,3.775483999569661,0.0004625056,24.199132175685556,0.0
Ldv,4.913560167131518,0.00041254156,10.302210576874325,5.9277118e-06
Ldv,6.1402362723498864,0.00041116538,19.294751659653194,6.655551e-08
Ldv,7.337646559425076,0.00040843917,26.421224732134238,1.7922791e-07
Ldv,8.40604256494997,0.00044656266,31.893045585333788,0.0
Ldv,9.447227595739433,0.0003644868,37.186739327066825,0.0
Cdv,0.7975978329777718,0.00049299,10.310660394520253,2.8420047e-06
Cdv,1.3701163157820702,0.00042026758,3.5679213588363075,0.0
Cdv,1.9329243749380112,0.00039072693,1.6855723883233313,0.0
Cdv,2.496106892824173,0.00044529932,1.0685594433685097,5.597082e-09
Cdv,3.0346894413232803,0.00047226108,0.8942979184950024,0.0
Cdv,3.568473145365715,0.0003753794,0.6734632937072969,0.0
Cdv,4.10882693529129,0.00037723168,0.5562967460793377,0.0
Cdv,4.689050704240799,0.00039343856,0.6460545889776902,4.39139e-06
Rav,15.742323875427246,0.00039650773,46.79380817229507,0.0
Rav,27.49108648300171,0.00038832097,17.22816363198804,1.9122372e-06
Rav,39.152331590652466,0.00047746484,10.158968905999771,5.597082e-09
Rav,50.58664345741272,0.00033320236,6.5099368165007885,0.0
Rav,61.650025367736816,0.00039345605,5.974438582299435,2.702953e-06
Rav,72.26536178588867,0.0004613547,5.471473627383839,1.3125211e-06
Rav,83.38823509216309,0.0004910116,6.161614632354733,1.7363084e-07
Rav,94.57532501220703,0.0004260741,8.437672401053122,1.1233382e-06
