sigma_rel,Rbv_mean_mape,Rbv_std_mape,Cbv_mean_mape,Cbv_std_mape,Rdv_mean_mape,Rdv_std_mape,Ldv_mean_mape,Ldv_std_mape,Cdv_mean_mape,Cdv_std_mape,Rav_mean_mape,Rav_std_mape
0.0,2.798273794298278,0.0,1.1045716171260347,0.0,2.8170805914890362,0.0,48.84104330555786,0.0,2.448499314872255,0.0,13.672684336447313,0.0
0.001,45.87564341501441,0.7613559475246212,11.157413625591179,0.21793498741338027,48.52427662265931,0.27319737318609655,69.91535724265245,1.425042693707877,18.4963337246414,0.26841014399731866,69.02383790829158,1.4364076730039306
0.005,124.87381876662383,2.5882287332791667,19.699141343132954,0.336708668051874,67.93904471590173,0.4936445487389129,69.24736539959216,1.5315805940090714,28.1934022269762,0.3510393760961726,79.60803814925491,0.8078562941017384
0.01,165.1671635890247,2.8093393033759178,23.101553275295306,0.3104525911842057,67.80030191249215,0.47342883545595826,68.27659562416314,0.7728874416951941,32.18132076315018,0.5347041287135426,77.34904870993566,0.699452448454215
0.02,203.41184688584843,4.545423375818801,26.213102290711827,0.2159938797902693,68.64305945445486,1.268466667882673,68.09140939103801,1.2716577451575648,37.822064547048214,0.6167392685701782,77.66357692840995,0.9112973947569113
0.05,220.9003868365804,2.21977742510422,29.8329428387372,0.19065309812868864,65.14814235350806,1.4515032312428549,68.36504385037456,0.6397893550449302,45.07648934154206,0.43439907758138335,77.3746077299266,0.6394318940019847
0.1,214.03102014107213,4.871707485493824,31.576743651740685,0.15722594021042813,59.730306857247015,0.4476967490772219,68.33691089567114,0.568027438826512,50.76532956353947,0.4597104898385808,75.97957837571876,0.584139777204596
0.15,212.42415138294626,2.4706070659291566,32.10338983811033,0.09314358693010902,58.656581262669,0.21656680972119222,69.9654700388704,0.6911627082882971,53.95743922716483,0.6551326630618801,76.90024407526542,0.47419293910102567
0.2,215.23733584763113,4.4886944679809755,32.95692795752347,0.17886951844395763,59.25132049719539,0.30336328287810516,70.99218425966231,0.7645357186254012,56.58799846462764,0.07763858736830495,77.69135547288342,0.6725717442338768
0.3,220.8102718545187,7.618353328671538,33.96105951947877,0.19732852816444071,61.43616697467026,0.7732227237858211,71.28283830086728,0.876555005986568,58.46286444554581,0.4963368301519696,77.48201020603577,0.7463168387520404
