round,Rbv_norm,Cbv_norm,Rdv_norm,Ldv_norm,Cdv_norm,Rav_norm
0,0.9999996524457264,0.9999990710309887,0.9999996286749802,0.9999999779080132,0.9999995689336224,0.9999999173870763
1,3.3580392459754984,1.391060445422701,3.914313153316493,1.1392966846330288,2.984438576092036,2.362921317927259
2,5.418588768252115,2.1768580701832776,6.366302168949553,1.207853593806837,4.591656174052229,3.4166346711001503
3,7.22718163031577,3.0060464691305633,8.57178986194266,1.2281875649782434,5.929323800296482,4.1986093680318195
4,8.909844158524873,3.7864319207350374,10.666448090664705,1.2369692586357897,6.9761909744727735,4.839007162475155
5,10.484414673440877,4.538570338838937,12.631264419966351,1.237179572422086,7.797122605228445,5.317058009854675
6,11.947159197187277,5.2696106581831526,14.469147389342384,1.235532124060642,8.490026399506071,5.6802826342288855
7,13.313512128445106,5.971918829717037,16.14304071387569,1.2329736851859896,9.090008348734216,5.984692011694002
8,14.594839594229665,6.655744804970556,17.656735574056995,1.2265331393332897,9.622817046703648,6.247472366942065
9,15.774222846984465,7.3036858584686835,19.05136463376243,1.2198824675650353,10.099145975418923,6.46784562957016
10,16.856894595711097,7.908975218458059,20.34475000534074,1.2161046543297018,10.528316380055271,6.6600732905785165
