layer,shape,effective_rank,sigma_max,sigma_min
enc_L0,"(128, 10)",9.631279945373535,2.1989677,0.85837394
enc_L3,"(256, 128)",81.77754974365234,2.908533,0.004736237
enc_L6,"(256, 256)",79.5626220703125,1.91672,2.052128e-11
enc_L9,"(128, 256)",58.57286071777344,1.7623001,9.2344e-07
enc_fc_mu,"(6, 128)",5.941764831542969,1.3719512,0.92140895
enc_fc_logvar,"(6, 128)",4.1188764572143555,1.6362677,1.1889531e-18
dec_L0,"(128, 6)",5.679140090942383,2.122728,0.7745891
dec_L2,"(256, 128)",9.186813354492188,2.0422163,1.6669532e-16
dec_L4,"(256, 256)",9.205770492553711,2.2070978,7.8931534e-18
dec_L6,"(128, 256)",12.156588554382324,2.2457108,1.5566748e-16
dec_L8,"(10, 128)",9.151573181152344,1.916619,0.49231428
