round,Rbv,Cbv,Rdv,Cdv,Rav
0,3.664765392773168,0.8185777934450278,3.9618171501183754,2.3552707372722144,12.947348040878284
1,6.259211688990357,1.1687650995976084,5.749681687804544,3.8637975563846045,19.567577207521907
2,8.81976925880824,1.6278708723092006,7.493170753182156,5.2480177283431715,24.960784464923005
3,11.028074927946964,2.075256793746476,9.109794013522322,6.424682916407005,29.326544752039453
4,12.919159574343992,2.5086310923375406,10.560695461958305,7.492721325624989,33.192742314025416
5,14.543334550427222,2.9065023743544134,11.795090080802279,8.453632654376683,36.813911859474715
6,16.06391205459764,3.279389342612383,12.83511221401508,9.341247742506349,40.01241936690991
7,17.47555964789857,3.633039427365016,13.786792095425845,10.176372809386795,42.472019886928415
8,18.817717242083127,3.9676486051516475,14.658146970013986,11.005969921946628,44.865140280472794
9,20.011824960352513,4.28040431963501,15.456950126131396,11.8103903542592,47.08095595877019
10,21.02105242079159,4.576664620457994,16.17336679164388,12.612853972140806,49.35099597648689
