PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10
0.089124195,0.077423714,0.5957079,0.013528786,0.17969657,0.11066502,0.3216503,0.002438488,0.08954459,0.6891958
0.015138303,0.029021682,0.7780723,0.002953114,0.12806022,0.030578146,0.102153,0.086326726,0.058047302,0.5957616
0.13507855,0.0025454906,0.09099211,0.1267235,0.6250525,0.11813614,0.7192648,0.035127003,0.16793108,0.077366345
0.5333203,0.026754169,0.12342442,0.004405312,0.49531046,0.22665599,0.48526022,0.09179054,0.13619271,0.3747584
0.6888847,0.045837425,0.001987645,0.116574824,0.4236521,0.16215405,0.29895326,0.2722679,0.35030714,0.13322988
0.0776495,0.54306763,0.118084855,0.12718363,0.07884133,0.251451,0.095469795,0.73129797,0.23487756,0.020153888
0.30936608,0.17132372,0.025055077,0.84376943,0.059180588,0.0074326503,0.08926676,0.29982603,0.2394433,0.06009411
0.21309584,0.3826888,0.020767154,0.16035907,0.08131621,0.6783229,0.14768568,0.10097595,0.53219837,0.0040646126
0.20486134,0.70727795,0.013124375,0.43171656,0.0655439,0.0476259,0.06592307,0.49037415,0.13426618,0.042824533
0.15960588,0.13918638,0.03229886,0.1729842,0.3393802,0.60788333,0.025952602,0.1827491,0.63669837,0.00545147
